book_title,author_name,keywords
Legend,David Gemmell,gemmell; druss; drenai; fortress; legend; delnoch; dros; retreated; iconic; retirement; nadir; solitude; conquering; walled; march; veteran; await; waylander; agrees; barbarian
The Woman in the Dunes,"Kōbō Abe, E. Dale Saunders (Translator)",abe; dunes; sand; existential; kobo; tasks; woman; locals; offered; advancing; tokyo; odd; amateur; tasked; pit; intertwined; essence; bus; captive; fates
The Civil War: A Narrative,ShelFoote,duvall; foote; civil; meridian; fort; war; achievement; novelist; river; history; historical; literary; attention; narrative; film; unique; kind; read; altman; allen
Roadside Picnic,"Arkady Strugatsky, Boris Strugatsky, Theodore Sturgeon (Introduction), Antonina W. Bouis (Translator)",picnic; zone; alien; zones; game; artifacts; visitors; products; collect; dominated; stalker; spite; thriving; compelled; venture; extreme; scattered; rebels; market; inevitable
"Love, Stargirl",Jerry Spinelli,spinelli; stargirl; gettysburg; plimpton; eileen; date; form; time; love; mixes; longest; mica; picks; leo; bittersweet; arizona; life; year; jerry; reflects
The Dark Elf Trilogy Collector's Edition,R.A. Salvatore,salvatore; sojourn; exile; homeland; elf; tsr; trilogy; drizzt; set; dark; book; realms; forgotten; vector; novels; write; wars; thomsen; fantasy; series
Sentinel,Jennifer L. Armentrout (Goodreads Author),armentrout; ash; stunning; alex; blood; novella; end; series; godly; flesh; slips; obstacles; war; covenant; shaken; aiden; alexandria; jennifer; happily; underworld
The Lions of Al-Rassan,Guy Gavriel Kay (Goodreads Author),rassan; kay; al; thierry; orane; ferrieres; dark; brightness; villar; sarantium; sarantine; valerius; masterful; written; epilogue; men; sanctuary; mosaic; deeds; diplomat
White Hot Kiss,Jennifer L. Armentrout (Goodreads Author),layla; armentrout; zayne; ash; blood; novella; demon; series; flesh; roth; jennifer; lynn; kissing; 2013; kiss; elements; 1001; times; york; spin
Gregor the Overlander,Suzanne Collins,gregor; collins; hunger; underland; games; embarks; dangerous; cockroaches; spiders; laundry; hurtles; father; rats; reluctantly; disappearance; uncertain; overlander; irresistible; apartment; fulfill
Apollyon,Jennifer L. Armentrout (Goodreads Author),alex; armentrout; seth; ash; blood; god; killer; novella; series; flesh; gods; jennifer; killed; lynn; isn; 2013; stop; 1001; fate; spin
Destroy Me,Tahereh Mafi,mafi; warner; shatter; juliette; sector; reestablishment; plans; fracture; destroy; furthermore; california; restore; suppress; correct; reveal; traitors; wound; forthcoming; shoulder; priority
Homeland,R.A. Salvatore,salvatore; drow; tsr; drizzt; icewind; underdark; ranger; shadowy; lone; introduced; walked; dale; genre; urden; depths; homeland; startling; amazing; elf; realms
Illusions,Aprilynne Pike,laurel; pike; tamani; aprilynne; wings; don; best; selling; seller; begged; aches; lock; illusions; isbn; avalon; faerie; debuted; 978; theft; debut
The Enchantress Returns,"Chris Colfer, Brandon Dorman (Illustrator)",conner; enchantress; alex; fairy; stories; land; mother; wishing; bailey; famed; sleeping; grandmother; cursed; twins; kidnapped; spell; hiding; ended; vengeance; froggy
Tiger's Destiny,Colleen Houck (Goodreads Author),tiger; durga; reawakened; colleen; saga; rating; curse; tigers; average; evil; bengal; rope; lokesh; series; tag; islands; website; kishan; pits; destinies
الطنطورية,"رضوى عاشور, Radwa Ashour",ashour; من; القرية; الرواية; radwa; الى; هذه; cairo; في; على; translated; حدث; نصف; التاريخية; عام; أخرى; الآن; الأدبي; حياة; قرن
On a Pale Horse,Piers Anthony,anthony; piers; ends; zane; mortis; limo; purgatory; luna; death; shoots; superbly; pale; sending; xanth; trap; riding; satan; horse; exact; heaven
Casino Royale,Ian Fleming,fleming; bond; 007; agent; le; savior; neutralize; chillingly; rolling; operative; retire; refuse; introducing; forcing; luck; charming; lethal; sophisticated; simply; russian
Gorky Park,Martin Cruz Smith,smith; 978; isbn; triple; profession; kgb; amusement; simon; performs; renko; corpses; arkady; schuster; martin; york; moscow; fingers; identify; cynical; gypsy
Dash & Lily's Book of Dares,"Rachel Cohn, David Levithan (Goodreads Author)",notebook; levithan; dash; shelf; dares; lily; day; cohn; red; push; guy; ely; adult; playlist; norah; boy; naomi; young; right; left
Tropic of Capricorn,Henry Miller,miller; tropic; sexual; henry; explicit; cornerstone; capricorn; ethnic; 1920s; portrayal; outrageous; exploits; frank; brooklyn; cancer; content; chronicles; considered; thirty; companion
Boy Meets Boy,David Levithan (Goodreads Author),levithan; paul; noah; straight; love; day; cohn; dash; push; lily; really; ely; adult; playlist; norah; boy; naomi; school; away; young
The Thousand Autumns of Jacob de Zoet,David Mitchell,mitchell; jacob; webb; comedy; sitcom; panel; east; peep; bbc; place; orient; colleague; farthest; costly; devout; samurai; disfigured; magistrate; earthquakes; propriety
The Mote in God's Eye,"Larry Niven, Jerry Pournelle",inferno; benito; million; hell; allen; star; mote; cloud; 2nd; dante; welcoming; solved; spans; systems; thanks; dust; faster; intelligent; sins; years
Two Boys Kissing,David Levithan (Goodreads Author),levithan; kissing; gay; boys; day; cohn; dash; push; lily; rabbit; languishing; digital; 32; olds; ely; navigating; lips; deprived; adult; playlist
A Grimm Warning,"Chris Colfer, Brandon Dorman (Illustrator)",conner; alex; fairy; bailey; connor; stories; twins; brothers; land; wishing; spell; froggy; ezmia; goose; outlandish; clue; bree; masked; signs; crack
Elixir,Jennifer L. Armentrout (Goodreads Author),means; armentrout; forgive; aiden; delphi; st; ash; gods; alex; doing; blood; making; novella; save; thing; series; flesh; war; jennifer; lynn
Maniac Magee,Jerry Spinelli,spinelli; run; maniac; uptight; feats; gettysburg; plimpton; unhappy; hadn; eileen; freak; aunt; orphan; jeffrey; uncle; divided; amazing; myth; decides; normal
